"Phage","Sample","DTPM","logDTPM","RTPM","logRTPM"
"DAB_929||","D",932.831209634965,2.9702683844221,44.4401555904276,1.65743980976169
"DAB_929||","L",19567.7504609423,4.29156309519081,NA,NA
"DAD_1083||","B",3173.9096147956,3.50173136605185,229.765019554429,2.36316997707533
"DAD_1083||","D",1581.03957571747,3.19921734344784,198.535179839792,2.30001947678145
"DAD_1083||","L",18988.9527720471,4.27852388464935,NA,NA
"DAD_11||","B",17.2797382211371,1.26196997203623,94.9508503962693,1.98204882816759
"DAD_11||","D",1405.09834256307,3.14801569631602,104.97236387187,2.02519262203064
"DAD_11||","L",5.02829385124903,0.780194413991883,NA,NA
"DAD_112||","B",5954.44256944515,3.77491404093651,1453.21151200287,3.16262757833531
"DAD_112||","D",3411.30102268524,3.5330473363069,2272.38288879212,3.35667258684051
"DAD_112||","L",4784.52772815937,3.67992983694882,NA,NA
"DAD_1154||","B",16.1679968894615,1.23471962593538,54.8313218486276,1.74687791022136
"DAD_1154||","D",629.230858880205,2.79949966433033,32.9540766274255,1.53089192443414
"DAD_1154||","L",124.876136537138,2.09994340482943,NA,NA
"DAD_1173||","B",6930.32003726263,3.84081595182766,297.526509554169,2.47498290310993
"DAD_1173||","D",2079.25762341038,3.31811712222106,227.718980507909,2.35930220652982
"DAD_1173||","L",48675.1888745021,4.68731656759485,NA,NA
"DAD_119||","B",180.068635374022,2.25784322853783,78.0297068463062,1.89779037096532
"DAD_119||","D",4247.66134423804,3.62825211537048,19.8082813813599,1.31823621200335
"DAD_119||","L",183.543913460838,2.26609972607482,NA,NA
"DAD_1207||","B",82.390201061984,1.92111502096469,5.81990564222456,0.833778365954912
"DAD_1207||","D",557.64975315108,2.74713961120166,13.6645524048612,1.16626881187399
"DAD_1207||","L",321.346595068892,2.50832308714026,NA,NA
"DAD_122||","B",80.1716129057583,1.90940417562229,157.186101942977,2.199168324202
"DAD_122||","D",851.633074391024,2.93076217530491,110.753438606335,2.04826089506824
"DAD_122||","L",46.9224676291396,1.68053917269776,NA,NA
"DAD_1223||","B",49.6918747817673,1.7049383534116,16.175118583411,1.23489974427268
"DAD_1223||","D",528.792472461079,2.72410578334619,7.31488764366564,0.91985638511709
"DAD_1223||","L",117.640835098687,2.07423419497814,NA,NA
"DAD_1231||","B",0,0,20.2383156602183,1.32712007133229
"DAD_1231||","D",850.056232433195,2.92995825647544,29.5075234945477,1.48440695440395
"DAD_1231||","L",66.3091712323495,1.82807424318736,NA,NA
"DAD_1238||","B",49.8731169511268,1.70648834728743,130.870336729078,2.12014711515447
"DAD_1238||","D",823.27414804483,2.91607167915034,69.8341755633054,1.85024284353003
"DAD_1238||","L",39.8485942439124,1.61117711539434,NA,NA
"DAD_1278||","B",0,0,10.5176226298515,1.06136284494767
"DAD_1278||","D",713.04290480529,2.8537243080792,20.769884369245,1.3378561222918
"DAD_1278||","L",79.5968404254426,1.90631801683373,NA,NA
"DAD_1319||","B",1814.34567452367,3.25895933474075,113.877129611895,2.06023357549425
"DAD_1319||","D",30015.305528116,4.47735723729131,230.131028158833,2.36385825120661
"DAD_1319||","L",2314.81655193329,3.36470415365705,NA,NA
"DAD_1360||","B",443.724572620004,2.64809112643216,1171.12446163254,3.06897372954071
"DAD_1360||","D",6496.54297255202,3.81274916045939,2110.91944374726,3.32467734861402
"DAD_1360||","L",382.389234684018,2.58363991401162,NA,NA
"DAD_1376||","B",34.7648124129559,1.55345595150454,31.5853394838295,1.51302224996522
"DAD_1376||","D",1031.40763043266,3.01385120571545,19.1791025639415,1.30490184771879
"DAD_1376||","L",50.9246225671665,1.71537334839264,NA,NA
"DAD_1419||","B",17.6427620045891,1.27051025536187,5.96966103463296,0.843211656954802
"DAD_1419||","D",728.420839792587,2.86297816709078,10.1496352660277,1.04726066069876
"DAD_1419||","L",76.7479245658867,1.89068880462346,NA,NA
"DAD_143||","B",56.4696249029897,1.75943836255751,1979.06028070559,3.29667841206926
"DAD_143||","D",800.322380920653,2.90380727274802,225.821523146712,2.3556842624799
"DAD_143||","L",45.2711171325265,1.66530998488211,NA,NA
"DAD_14306||","B",7250.52589442149,3.86042940212957,79278.4131711615,4.899160426827
"DAD_14306||","D",8059.01552777848,3.90633587848276,110352.350243191,5.04278552254565
"DAD_14306||","L",8705.49722005694,3.93984346568846,NA,NA
"DAD_1453||","B",35.6030877334924,1.56351772280028,390.698589689375,2.59295200787356
"DAD_1453||","D",805.261141986991,2.90647572934259,279.507714354823,2.44794480946263
